title,year,genre,genre_detail,director,runtime,streaming,production,rating,broadcast_period,episodes,cast,country,language
당신의 맛,2025,드라마,"로맨틱 코미디, 성장, 요리",박단희,1시간 20분,"Genie TV, 넷플릭스",쇼트케이크,,2025년 5월 12일 ~ 방송 예정,10부작,강하늘 고민시 김신록 유수빈,한국,
언젠가는 슬기로울 전공의생활,2025,드라마,"의학, 성장, 청춘, 일상, 코미디, 휴먼, 로맨스",이민수,1시간 20분,"tvN STORY, tvN DRAMA, TLC",에그이즈커밍,,2025년 4월 12일 ~ 2025년 5월 18일,12부작,고윤정 신시아 한예지 강유석 정준원 외,대한민국,
천국보다 아름다운,2025,드라마,,빈센트 워드,,,,,,,로빈 윌리엄스 쿠바 구딩 쥬니어 아나벨라 시오라,미국,영어
귀궁,2025,드라마,"사극, 로맨스, 판타지, 코미디, 드라마",윤성식 김지연,1시간 10분,SBS 플러스,"아이윌미디어, 스튜디오S",,2025년 4월 18일 ~ 2025년 6월 7일,16부작,육성재 김지연 김지훈 외,한국,
약한영웅 Class 1,2022,드라마,,,,,,,,,,,
폭싹 속았수다,2025,드라마,"드라마, 로맨스",김원석,,,"팬엔터테인먼트, 바람픽쳐스",,2025년 3월 7일 ~ 2025년 3월 28일[1],16부작,아이유 박보검 문소리 박해준 외,대한민국,
승부,2025,영화,,김형주,,,영화사 월광BH엔터테인먼트,,,,이병헌유아인,한국,한국어
하트페어링,2025,예능,,,,,,,,,,,
태어난 김에 세계일주4,2025,예능,,,,,,,,,,,
데블스 플랜,2023,예능,리얼리티 경쟁,,,,,,,12,,,
슬기로운 의사생활 시즌 1,2020,드라마,,,,,,,,,,,
임영웅│아임 히어로 더 스타디움,2024,"영화, 공연",,,,,,,,,,,
약한영웅 Class 2,2025,드라마,학원 액션 드라마 범죄 스릴러 느와르 성장 하이틴 복수 사회고발 피카레스크,유수민,,,"쇼트케이크, 플레이리스트, 재담미디어",,2025년 4월 25일,8부작,박지훈려운최민영유수빈배나라이민재이준영,대한민국,
진격의 거인 The Final Season 완결편 (전편),2023,애니메이션,,,,,,,,,,,
슬기로운 의사생활 시즌 2,2021,드라마,,,,,,,,,,,
데블스 플랜: 데스룸,2025,예능,,,,,,,,,,,
이혼숙려캠프,2024,예능,,,,,,,,,,,
미션 임파서블: 데드 레코닝,2023,영화,,크리스토퍼 매쿼리,,,스카이댄스 미디어TC 프로덕션스,,,,톰 크루즈헨리 처니사이먼 페그레베카 페르구손버네사 커비헤일리 앳웰폼 클레멘티프셰이 위검이사이 모랄레스,미국,영어
노트북,2004,영화,,,,,,,,,,,
