rank,title,genre,year,score,platform,age_group,gender,genre_detail,director,runtime,streaming,production,rating,broadcast_period,episodes,cast,country,language
1,당신의 맛,드라마,2025,80.0,"coupang, disney, netflix",10대,여성,"로맨틱 코미디, 성장, 요리",박단희,1시간 20분,"Genie TV, 넷플릭스",쇼트케이크,,2025년 5월 12일 ~ 방송 예정,10부작,강하늘 고민시 김신록 유수빈,한국,
5,언젠가는 슬기로울 전공의생활,드라마,2025,67.1,"coupang, disney, netflix, tving",10대,여성,"의학, 성장, 청춘, 일상, 코미디, 휴먼, 로맨스",이민수,1시간 20분,"tvN STORY, tvN DRAMA, TLC",에그이즈커밍,,2025년 4월 12일 ~ 2025년 5월 18일,12부작,고윤정 신시아 한예지 강유석 정준원 외,대한민국,
6,천국보다 아름다운,드라마,2025,64.0,"coupang, disney, netflix",10대,여성,,빈센트 워드,,,,,,,로빈 윌리엄스 쿠바 구딩 쥬니어 아나벨라 시오라,미국,영어
8,귀궁,드라마,2025,75.7,"coupang, disney, netflix, wavve",10대,여성,"사극, 로맨스, 판타지, 코미디, 드라마",윤성식 김지연,1시간 10분,SBS 플러스,"아이윌미디어, 스튜디오S",,2025년 4월 18일 ~ 2025년 6월 7일,16부작,육성재 김지연 김지훈 외,한국,
12,약한영웅 Class 1,드라마,2022,95.3,"coupang, disney, netflix, wavve",10대,여성,,,,,,,,,,,
14,폭싹 속았수다,드라마,2025,97.0,"coupang, disney, netflix",10대,여성,"드라마, 로맨스",김원석,,,"팬엔터테인먼트, 바람픽쳐스",,2025년 3월 7일 ~ 2025년 3월 28일[1],16부작,아이유 박보검 문소리 박해준 외,대한민국,
17,승부,영화,2025,94.7,"coupang, disney, netflix",10대,여성,,김형주,,,영화사 월광BH엔터테인먼트,,,,이병헌유아인,한국,한국어
19,하트페어링,예능,2025,85.7,"coupang, disney, netflix, tving, wavve",10대,여성,,,,,,,,,,,
20,태어난 김에 세계일주4,예능,2025,83.3,"coupang, disney, netflix, wavve",10대,여성,,,,,,,,,,,
21,데블스 플랜,예능,2023,88.0,"coupang, disney, netflix",10대,여성,리얼리티 경쟁,,,,,,,12,,,
22,슬기로운 의사생활 시즌 1,드라마,2020,95.5,"coupang, disney, netflix, tving",10대,여성,,,,,,,,,,,
